,out_acc_num,label
0,4292001,No
1,4292002,No
2,4292003,Yes
3,4292004,No
4,4292005,No
5,4292006,No
6,4292007,Yes
7,4292008,No
8,4292009,No
9,4292010,Yes
10,4292011,Yes
11,4292012,No
12,4292013,Yes
13,4292014,Yes
14,4292015,Yes
15,4292016,Yes
16,4292017,No
17,4292018,No
18,4292019,No
19,4292020,No
20,4292021,Yes
21,4292022,No
22,4292023,No
23,4292024,No
24,4292025,No
25,4292026,No
26,4292027,No
27,4292029,No
28,4292030,No
29,4292031,No
30,4292032,Yes
31,4292033,No
32,4292034,No
33,4292035,Yes
34,4292036,Yes
35,4292037,No
36,4292038,No
37,4292039,No
38,4292040,Yes
39,4292041,Yes
40,4292042,No
41,4292043,No
42,4292044,No
43,4292045,Yes
44,4292047,No
45,4292048,Yes
46,4292049,No
47,4292050,No
48,4292051,Yes
49,4292052,Yes
50,4292053,No
51,4292054,Yes
52,4292055,Yes
53,4292056,No
54,4292057,Yes
55,4292058,No
56,4292059,Yes
57,4292060,Yes
58,4292061,Yes
59,4292062,No
60,4292063,No
61,4292064,No
62,4292065,No
63,4292066,Yes
64,4292067,Yes
65,4292068,Yes
66,4292069,No
67,4292070,Yes
68,4292071,No
69,4292072,Yes
70,4292073,Yes
71,4292074,Yes
72,4292075,No
73,4292076,No
74,4292077,Yes
75,4292078,No
76,4292079,No
77,4292080,Yes
78,4292081,Yes
79,4292082,No
80,4292083,Yes
81,4292084,No
82,4292085,Yes
83,4292086,No
84,4292087,Yes
85,4292088,No
86,4292089,Yes
87,4292090,No
88,4292092,Yes
89,4292093,Yes
90,4292094,Yes
91,4292095,Yes
92,4292096,No
93,4292097,No
94,4292098,Yes
95,4292099,No
96,4292100,Yes
