,out_acc_num,label
0,2,True
1,2,True
2,2,True
3,2,True
4,3,False
5,4,False
6,4,False
7,6,False
8,6,False
9,6,False
10,6,False
11,8,True
12,8,True
13,8,True
14,8,True
15,9,True
16,10,False
17,10,False
18,10,False
19,10,False
20,11,False
21,11,False
22,13,False
23,13,False
24,13,True
25,13,False
26,14,False
27,14,False
28,15,False
29,15,False
30,17,True
31,17,True
32,17,True
33,17,True
34,19,False
35,19,False
36,19,True
37,19,False
38,19,False
39,20,True
40,20,True
41,22,False
42,22,False
43,22,False
44,22,False
45,22,False
46,23,True
47,23,True
48,24,True
49,26,False
50,27,True
51,28,False
52,30,False
53,30,False
54,31,True
55,31,True
56,32,True
57,33,True
58,33,True
59,33,True
60,34,False
61,36,False
62,36,False
63,37,True
64,37,True
65,37,True
66,38,True
67,38,True
68,40,False
69,40,False
70,40,False
71,42,True
72,43,False
73,43,False
74,44,True
75,45,False
76,46,False
77,47,False
78,47,False
79,48,False
80,49,False
81,50,False
82,50,False
83,52,True
84,52,True
85,53,True
86,53,True
87,54,True
88,54,True
89,54,True
90,55,False
91,56,True
92,56,True
93,57,True
94,57,True
95,57,True
96,57,True
97,58,True
98,59,False
99,59,False
100,59,False
101,61,False
102,62,False
103,66,True
104,67,False
105,67,False
106,67,False
107,67,False
108,68,False
109,71,False
110,71,False
111,71,False
112,71,False
113,72,False
114,72,False
115,73,False
116,73,False
117,73,False
118,74,False
119,76,False
120,76,False
121,76,False
122,76,False
123,76,False
124,76,False
125,77,False
126,77,False
127,77,False
128,78,False
129,78,False
130,79,False
131,79,False
132,81,False
133,82,False
134,84,False
135,84,False
136,85,True
137,86,False
138,86,False
139,86,False
140,87,True
141,88,False
142,88,False
143,88,False
144,89,False
145,89,False
146,89,False
147,90,False
148,91,True
149,91,True
150,92,True
151,94,True
152,94,True
153,95,False
154,97,True
155,97,True
156,97,False
157,99,True
158,99,True
159,99,True
160,100,False
161,100,False
162,100,False
