,out_acc_num,label
0,2,No
1,3,No
2,4,Yes
3,4,Yes
4,7,Yes
5,7,Yes
6,8,Yes
7,8,Yes
8,9,Yes
9,9,Yes
10,9,Yes
11,12,No
12,19,No
13,20,Yes
14,22,No
15,23,No
16,24,No
17,33,No
18,36,Yes
19,36,Yes
20,39,Yes
21,45,Yes
22,46,Yes
23,47,No
24,48,No
25,48,No
26,49,No
27,50,No
28,51,No
29,52,No
30,52,No
31,53,No
32,54,No
33,54,No
34,55,Yes
35,56,Yes
36,58,No
37,65,Yes
38,67,Yes
39,71,No
40,74,Yes
41,78,Yes
42,83,Yes
43,84,No
44,85,No
45,85,No
46,85,No
47,86,Yes
48,86,Yes
49,86,Yes
50,90,No
51,90,No
52,92,Yes
53,94,Yes
54,94,Yes
55,94,Yes
56,96,Yes
57,97,No
58,99,No
