,Account Number,Risk Score,No. of Suspicious Transactions,No. of Red Flags
2,4,2,4,6
3,5,2,0,2
4,6,2,0,2
5,7,2,4,6
7,9,3,6,9
9,12,2,0,2
11,15,2,0,2
14,18,2,0,2
15,20,2,2,4
17,22,2,0,2
19,24,2,0,2
24,31,2,0,2
28,35,2,0,2
29,36,2,4,6
30,38,2,0,2
37,46,3,2,5
39,48,2,0,2
43,52,2,0,2
45,54,2,0,2
46,55,2,2,4
47,56,2,2,4
50,59,2,0,2
51,60,2,0,2
53,64,2,0,2
54,65,2,2,4
58,69,3,0,3
59,70,2,0,2
61,72,2,0,2
62,73,2,0,2
63,74,2,2,4
64,75,2,0,2
65,76,2,0,2
66,77,2,0,2
67,78,2,2,4
68,80,2,0,2
70,82,2,0,2
73,85,2,0,2
74,86,2,6,8
75,87,2,0,2
76,88,2,0,2
80,92,2,2,4
84,97,2,0,2
85,98,3,0,3
87,100,3,0,3
